****************************************************************************************************Id:0****************************************************************************************************
Id:0x46c73bd6, Parent:0x2c384d88, Miner: [Id:37   , Balance:102       ], Txns:3    , Time:19413.38425499729
Id:0x2a893ef6, Parent:0x2c384d88, Miner: [Id:19   , Balance:102       ], Txns:2    , Time:20119.846503005374
Id:0x6942edda, Parent:0x457617a9, Miner: [Id:3    , Balance:50        ], Txns:1    , Time:23450.299838482424
Id:0x15282efc, Parent:0x3f88afbd, Miner: [Id:3    , Balance:50        ], Txns:1    , Time:26806.043778231455
Id:0x1a3e701b, Parent:0x325c26b2, Miner: [Id:3    , Balance:50        ], Txns:4    , Time:28550.388965429913
Id:0x2ae4c4d3, Parent:0x0d1c5780, Miner: [Id:3    , Balance:50        ], Txns:2    , Time:28559.434885260383
Id:0x4e1ebf88, Parent:0x4dba2a59, Miner: [Id:3    , Balance:50        ], Txns:2    , Time:32529.31904244382
Id:0x6eada831, Parent:0x44b97697, Miner: [Id:3    , Balance:50        ], Txns:1    , Time:35006.083422968506
Id:0x1831ded4, Parent:0x4263baa8, Miner: [Id:3    , Balance:50        ], Txns:1    , Time:35759.12524977423
Id:0x5275509c, Parent:0x40230bc8, Miner: [Id:3    , Balance:50        ], Txns:2    , Time:40825.55459541338
Id:0x6e39b2c7, Parent:0x46c73bd6, Miner: [Id:3    , Balance:50        ], Txns:1    , Time:42454.4787830109
Id:0x54b864e5, Parent:0x00000001, Miner: [Id:3    , Balance:50        ], Txns:1    , Time:48297.04097273226
Id:0x40ae169f, Parent:0x6c6141e3, Miner: [Id:3    , Balance:50        ], Txns:2    , Time:66103.40696695715
Id:0x13ec574c, Parent:0x30219e05, Miner: [Id:3    , Balance:50        ], Txns:2    , Time:71318.19511105232
****************************************************************************************************Id:4****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x65d80c3f, Parent:0x00000001, Miner: [Id:31   , Balance:3         ], Txns:1    , Time:1316.0677687344069
Id:0x7194306a, Parent:0x00000001, Miner: [Id:20   , Balance:50        ], Txns:1    , Time:1446.03514638136
Id:0x23563123, Parent:0x00000001, Miner: [Id:11   , Balance:102       ], Txns:1    , Time:2031.8665149265018
Id:0x4263baa8, Parent:0x65d80c3f, Miner: [Id:7    , Balance:96        ], Txns:1    , Time:3764.5180387292767
Id:0x5f4df43d, Parent:0x65d80c3f, Miner: [Id:9    , Balance:0         ], Txns:1    , Time:3855.647942386191
Id:0x7fceea3d, Parent:0x65d80c3f, Miner: [Id:4    , Balance:70        ], Txns:1    , Time:4587.042069638101
Id:0x14990166, Parent:0x65d80c3f, Miner: [Id:40   , Balance:0         ], Txns:1    , Time:4665.105368844721
Id:0x44b97697, Parent:0x4263baa8, Miner: [Id:26   , Balance:90        ], Txns:2    , Time:5485.602012973328
Id:0x56a7b7a4, Parent:0x44b97697, Miner: [Id:51   , Balance:150       ], Txns:2    , Time:6514.050698017776
Id:0x3f88afbd, Parent:0x44b97697, Miner: [Id:6    , Balance:107       ], Txns:1    , Time:6797.994595760805
Id:0x4f8b3d17, Parent:0x00000001, Miner: [Id:4    , Balance:70        ], Txns:1    , Time:7372.408327357532
Id:0x40230bc8, Parent:0x3f88afbd, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:8293.761184280145
Id:0x54c89f41, Parent:0x40230bc8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:8966.279102686944
